,latitude,longitude
0,122.25,-17.97
1,121.29,-19.38
2,126.35,-14.04
3,122.25,-17.99
4,122.25,-17.98
5,122.25,-17.98
6,122.25,-17.98
7,122.25,-17.98
8,122.25,-17.98
9,122.25,-17.98
10,122.25,-17.12
11,122.19,-17.94
12,115.47,-31.31
13,114.98,-29.59
14,115.65,-33.32
15,115.03,-34.2
16,117.2,-20.63
17,114.78,-29.01
18,115.65,-33.32
19,115.65,-33.32
20,123.55,-14.1
21,115.01,-33.55
22,115.62,-32.06
23,125.63,-13.95
24,113.73,-22.73
25,126.27,-14.24
26,122.83,-33.91
27,115.03,-34.22
28,117.96,-35.1
29,115.65,-33.32
30,115.76,-32.03
31,115.49,-31.99
32,117.96,-35.0
33,115.71,-32.27
34,113.75,-22.86
35,115.35,-32.08
36,115.04,-34.3
37,115.69,-32.24
38,115.7,-32.24
39,115.56,-31.99
40,115.86,-32.05
41,113.66,-22.52
42,115.76,-32.1
43,117.73,-20.6
44,115.76,-32.14
45,115.66,-31.64
46,115.91,-31.94
47,121.09,-33.85
48,115.75,-32.01
49,115.69,-32.3
50,115.94,-31.93
51,115.77,-32.15
52,115.75,-32.07
53,115.31,-32.05
54,113.73,-23.08
55,115.77,-32.14
56,117.97,-34.99
57,116.74,-35.03
58,118.17,-35.01
59,114.99,-30.4
60,115.78,-32.02
61,126.9,-32.3
62,117.86,-35.04
63,114.19,-21.82
64,117.94,-35.08
65,115.15,-34.37
66,115.03,-34.21
67,123.21,-34.09
68,115.76,-32.03
69,115.77,-32.01
70,115.27,-31.83
71,123.21,-34.09
72,118.14,-35.04
73,115.16,-33.63
74,115.56,-31.99
75,115.77,-32.15
76,115.76,-32.11
77,117.73,-20.62
78,115.75,-32.06
79,113.02,-25.51
80,113.64,-22.69
81,115.76,-32.14
82,115.85,-32.0
83,115.77,-32.03
84,113.69,-22.74
85,115.77,-32.15
86,115.74,-32.19
87,115.68,-32.39
88,117.94,-35.08
89,113.53,-25.42
90,115.65,-33.32
91,123.56,-14.11
92,117.88,-35.03
93,117.19,-20.68
94,115.39,-32.07
95,115.64,-32.13
96,115.68,-32.38
97,118.88,-19.9
98,113.72,-22.83
99,113.93,-28.99
100,115.54,-32.01
101,126.02,-14.35
102,117.94,-35.09
103,115.9,-31.95
104,114.17,-21.78
105,115.76,-32.04
106,115.75,-32.06
107,115.38,-20.29
108,114.62,-28.97
109,111.22,-26.24
110,115.02,-34.22
111,126.05,-32.27
112,115.63,-32.06
113,119.37,-19.98
114,115.66,-31.67
115,115.37,-32.06
116,115.69,-32.31
117,115.38,-32.06
118,113.75,-22.86
119,115.46,-31.3
120,115.45,-31.36
121,118.02,-35.03
122,115.56,-32.0
123,115.36,-31.22
124,118.75,-34.59
125,114.24,-28.19
126,121.77,-14.04
127,115.64,-32.08
128,113.81,-28.88
129,115.73,-32.06
130,113.94,-27.19
131,113.79,-28.49
132,123.03,-16.36
133,118.03,-35.04
134,123.54,-12.54
135,128.1,-15.45
136,96.82,-11.84
137,115.74,-32.26
138,115.65,-31.61
139,115.45,-32.02
140,115.2,-32.06
141,115.34,-31.1
142,113.52,-23.83
143,115.56,-31.62
144,115.73,-32.05
145,115.1,-33.55
146,117.97,-35.08
147,115.78,-32.02
148,115.78,-32.02
149,115.77,-32.01
150,115.95,-20.14
151,113.42,-24.21
152,118.03,-35.04
153,117.94,-35.09
154,118.05,-35.01
155,117.91,-35.06
156,115.77,-32.19
157,115.76,-32.09
158,121.15,-19.18
159,115.77,-32.03
160,115.77,-32.03
161,115.83,-32.0
162,115.87,-32.03
163,115.5,-32.03
164,117.94,-35.09
165,117.95,-35.09
166,96.02,-12.09
167,96.03,-12.1
168,96.04,-12.09
169,96.04,-12.09
170,96.05,-12.1
171,114.61,-28.74
172,114.15,-27.73
173,115.35,-32.06
174,115.37,-32.07
175,115.23,-32.03
176,115.33,-32.03
177,115.74,-32.05
178,115.57,-20.4
179,115.53,-20.48
180,115.68,-31.54
181,115.68,-31.55
182,117.19,-20.68
183,113.56,-26.43
184,115.68,-33.23
185,115.19,-31.17
186,115.85,-21.2
187,115.64,-33.32
188,115.5,-32.0
189,113.9,-25.81
190,120.68,-19.75
191,112.96,-25.48
192,113.67,-22.59
193,115.37,-32.05
194,115.38,-32.09
195,115.37,-32.06
196,115.34,-32.03
197,115.7,-32.24
198,115.23,-32.18
199,115.35,-32.07
200,115.56,-33.34
201,113.65,-24.89
202,113.16,-24.79
203,122.2,-17.66
204,118.0,-35.02
205,128.48,-12.83
206,115.66,-33.31
207,114.62,-28.73
208,115.64,-32.33
209,115.71,-31.86
210,115.05,-30.51
211,115.69,-32.37
212,115.0,-34.04
213,113.96,-28.99
214,113.67,-22.74
215,115.76,-32.04
216,115.4,-31.18
217,113.79,-28.47
218,117.55,-35.08
219,123.6,-17.34
220,115.85,-32.0
221,115.61,-31.52
222,115.71,-32.36
223,115.99,-34.89
224,115.77,-32.01
225,115.78,-32.01
226,123.76,-33.79
227,115.32,-31.0
228,115.55,-32.02
229,115.84,-32.0
230,115.76,-32.1
231,113.97,-28.94
232,115.68,-32.25
233,115.74,-32.13
234,115.66,-32.46
235,115.56,-31.99
236,115.04,-34.2
237,117.87,-35.03
238,115.6,-32.06
239,115.64,-32.1
240,115.55,-32.02
241,117.95,-35.0
242,115.63,-32.08
243,117.89,-35.03
244,115.59,-32.84
245,119.59,-17.09
246,115.76,-32.03
247,111.22,-26.1
248,115.0,-30.3
249,117.2,-20.63
250,115.56,-31.99
251,115.85,-32.0
252,115.88,-32.03
253,122.13,-16.85
254,115.14,-34.42
255,115.37,-32.08
256,116.53,-35.01
257,113.97,-28.94
258,115.41,-33.62
259,118.0,-35.01
260,115.64,-33.32
261,115.77,-32.15
262,114.82,-30.21
263,113.63,-22.65
264,125.63,-14.23
265,115.17,-34.33
266,115.73,-32.06
267,124.62,-15.5
268,114.57,-28.76
269,122.08,-34.12
270,115.65,-33.32
271,115.64,-33.32
272,115.47,-32.01
273,115.68,-32.39
274,113.63,-22.61
275,118.4,-34.87
276,115.63,-32.28
277,115.65,-33.32
278,113.9,-28.97
279,115.31,-32.14
280,115.75,-32.09
281,115.76,-32.03
282,115.85,-32.0
283,115.95,-20.14
284,116.65,-20.7
285,115.71,-31.72
286,115.74,-32.06
287,113.67,-22.59
288,115.69,-32.11
289,113.74,-22.74
290,117.19,-20.68
291,117.19,-20.68
292,117.19,-20.68
293,117.19,-20.68
294,117.19,-20.68
295,117.2,-20.68
296,117.19,-20.68
297,115.65,-32.25
298,115.15,-34.35
299,115.36,-20.87
300,122.21,-18.0
301,122.24,-17.96
302,115.13,-21.65
303,115.65,-33.32
304,115.73,-32.05
