,LocationX,LocationY,Sightings
0,113.06,-25.84,1
1,113.08,-25.26,1
2,113.15,-26.14,1
3,113.15,-24.75,1
4,113.53,-25.93,2
5,113.55,-25.6,1
6,113.56,-26.65,1
7,113.63,-24.9,2
8,113.63,-22.85,1
9,113.64,-24.89,1
10,113.65,-24.9,1
11,113.67,-22.72,1
12,113.7,-22.45,1
13,113.71,-22.53,1
14,113.71,-22.46,1
15,113.73,-28.44,1
16,113.76,-23.18,1
17,113.77,-23.22,1
18,113.77,-23.14,7
19,113.77,-23.13,2
20,113.78,-23.2,2
21,113.79,-23.09,2
22,113.81,-23.07,1
23,113.81,-23.05,2
24,113.82,-22.98,1
25,113.84,-22.24,1
26,113.86,-22.17,1
27,113.88,-28.91,6
28,113.88,-22.14,1
29,113.89,-22.1,5
30,113.91,-26.12,1
31,113.91,-22.02,1
32,113.92,-22.03,2
33,113.92,-21.99,1
34,113.93,-27.17,1
35,113.93,-21.96,1
36,113.96,-21.89,2
37,113.98,-21.91,3
38,113.99,-21.87,1
39,114.01,-21.87,3
40,114.05,-21.84,2
41,114.07,-21.83,1
42,114.11,-22.06,1
43,114.12,-22.04,1
44,114.12,-21.8,1
45,114.13,-21.8,3
46,114.14,-21.96,1
47,114.14,-21.93,9
48,114.14,-21.91,1
49,114.15,-28.77,1
50,114.15,-27.73,1
51,114.15,-27.72,1
52,114.15,-27.71,1
53,114.15,-21.96,1
54,114.15,-21.95,1
55,114.15,-21.93,1
56,114.16,-27.72,1
57,114.16,-27.71,1
58,114.16,-27.7,2
59,114.16,-27.68,1
60,114.17,-21.84,1
61,114.17,-21.79,1
62,114.19,-21.81,1
63,114.24,-28.19,1
64,114.25,-28.2,1
65,114.42,-28.38,1
66,114.43,-28.38,1
67,114.45,-28.41,1
68,114.46,-28.41,1
69,114.55,-28.55,1
70,114.56,-28.55,2
71,114.58,-28.78,3
72,114.6,-28.79,1
73,114.6,-28.78,2
74,114.6,-28.77,12
75,114.6,-28.76,1
76,114.6,-28.74,1
77,114.61,-28.97,2
78,114.61,-28.79,2
79,114.61,-28.77,20
80,114.61,-28.71,1
81,114.61,-28.7,3
82,114.61,-28.68,1
83,114.62,-28.81,1
84,114.62,-28.76,2
85,114.62,-21.92,1
86,114.63,-28.84,1
87,114.68,-21.61,1
88,114.78,-29.01,1
89,114.85,-21.72,1
90,114.86,-21.72,1
91,114.87,-29.81,1
92,114.88,-29.45,1
93,114.9,-29.27,1
94,114.91,-29.27,4
95,114.91,-29.25,1
96,114.92,-29.3,5
97,114.92,-29.28,7
98,114.92,-29.27,1
99,114.92,-29.25,4
100,114.92,-29.24,4
101,114.94,-30.13,1
102,114.96,-30.07,2
103,114.96,-29.95,1
104,114.96,-29.66,1
105,114.96,-29.4,1
106,114.97,-33.98,2
107,114.97,-33.97,3
108,114.97,-33.89,6
109,114.97,-33.86,41
110,114.97,-33.85,5
111,114.97,-33.73,2
112,114.97,-29.95,1
113,114.97,-29.78,1
114,114.98,-34.0,4
115,114.98,-33.99,3
116,114.98,-33.98,10
117,114.98,-33.97,12
118,114.98,-33.96,53
119,114.98,-33.95,3
120,114.98,-33.92,1
121,114.98,-33.91,36
122,114.98,-33.9,15
123,114.98,-33.89,65
124,114.98,-33.88,1
125,114.98,-33.87,34
126,114.98,-33.86,46
127,114.98,-33.85,29
128,114.98,-33.77,10
129,114.98,-33.76,5
130,114.98,-33.75,2
131,114.98,-33.73,4
132,114.98,-33.7,10
133,114.98,-33.69,7
134,114.98,-33.67,2
135,114.98,-29.95,1
136,114.99,-34.11,6
137,114.99,-34.1,1
138,114.99,-34.08,4
139,114.99,-34.04,4
140,114.99,-34.02,4
141,114.99,-34.01,3
142,114.99,-33.99,4
143,114.99,-33.98,32
144,114.99,-33.97,5
145,114.99,-33.95,35
146,114.99,-33.94,8
147,114.99,-33.92,2
148,114.99,-33.91,3
149,114.99,-33.86,7
150,114.99,-33.85,40
151,114.99,-33.84,39
152,114.99,-33.83,7
153,114.99,-33.82,34
154,114.99,-33.81,32
155,114.99,-33.79,12
156,114.99,-33.78,25
157,114.99,-33.77,18
158,114.99,-33.76,16
159,114.99,-33.75,3
160,114.99,-33.7,37
161,114.99,-33.69,71
162,114.99,-33.68,14
163,114.99,-33.66,4
164,114.99,-33.56,5
165,114.99,-33.53,6
166,114.99,-30.18,2
167,114.99,-29.53,2
168,115.0,-34.11,12
169,115.0,-34.1,4
170,115.0,-34.08,19
171,115.0,-34.06,3
172,115.0,-34.04,37
173,115.0,-34.01,28
174,115.0,-34.0,16
175,115.0,-33.84,1
176,115.0,-33.82,7
177,115.0,-33.79,25
178,115.0,-33.68,3
179,115.0,-33.67,21
180,115.0,-33.66,9
181,115.0,-33.65,2
182,115.0,-33.58,8
183,115.0,-33.57,10
184,115.0,-33.56,15
185,115.0,-33.55,28
186,115.0,-33.54,2
187,115.0,-33.53,93
188,115.0,-30.32,3
189,115.01,-34.26,5
190,115.01,-33.66,22
191,115.01,-33.65,116
192,115.01,-33.63,14
193,115.01,-33.61,1
194,115.01,-33.58,28
195,115.01,-33.57,5
196,115.01,-33.56,3
197,115.01,-33.55,12
198,115.01,-33.54,23
199,115.01,-30.28,2
200,115.02,-34.32,1
201,115.02,-34.24,1
202,115.02,-34.22,5
203,115.02,-34.21,2
204,115.02,-34.19,4
205,115.02,-34.16,3
206,115.02,-34.14,2
207,115.02,-33.66,66
208,115.02,-33.65,52
209,115.02,-33.64,9
210,115.02,-33.63,14
211,115.02,-33.62,1
212,115.02,-33.53,1
213,115.02,-33.52,1
214,115.02,-30.27,1
215,115.03,-34.27,1
216,115.03,-34.26,5
217,115.03,-34.25,2
218,115.03,-34.24,2
219,115.03,-34.23,1
220,115.03,-34.22,9
221,115.03,-34.19,34
222,115.03,-34.18,1
223,115.03,-34.16,12
224,115.03,-33.64,43
225,115.03,-33.63,52
226,115.03,-33.62,32
227,115.03,-33.54,20
228,115.03,-30.34,3
229,115.03,-30.29,1
230,115.03,-30.27,4
231,115.04,-34.21,1
232,115.04,-34.2,2
233,115.04,-34.19,19
234,115.04,-33.55,148
235,115.04,-33.54,166
236,115.04,-33.53,2
237,115.04,-30.3,1
238,115.04,-30.29,3
239,115.05,-34.28,4
240,115.05,-33.54,78
241,115.05,-30.52,1
242,115.06,-34.3,3
243,115.06,-34.29,5
244,115.06,-33.56,2
245,115.06,-33.55,45
246,115.06,-33.54,1
247,115.06,-30.51,1
248,115.07,-33.56,26
249,115.07,-33.55,5
250,115.07,-33.54,1
251,115.07,-30.49,1
252,115.07,-21.65,1
253,115.08,-34.31,4
254,115.08,-33.57,32
255,115.08,-33.56,20
256,115.08,-33.55,2
257,115.09,-33.58,1
258,115.09,-33.57,693
259,115.09,-33.56,15
260,115.09,-30.57,1
261,115.1,-33.6,48
262,115.1,-33.59,26
263,115.1,-33.58,76
264,115.1,-33.57,17
265,115.1,-30.59,1
266,115.11,-33.62,1
267,115.11,-33.61,52
268,115.11,-33.6,10
269,115.11,-33.59,5
270,115.11,-33.58,17
271,115.12,-33.62,3
272,115.12,-33.61,2
273,115.12,-33.6,26
274,115.12,-30.7,1
275,115.13,-33.63,45
276,115.13,-33.62,3
277,115.13,-21.59,1
278,115.14,-34.38,1
279,115.14,-34.37,1
280,115.14,-33.63,1
281,115.15,-34.37,1
282,115.15,-33.63,35
283,115.15,-33.62,2
284,115.16,-34.37,5
285,115.16,-34.32,1
286,115.16,-33.64,1
287,115.17,-34.35,4
288,115.17,-34.34,1
289,115.17,-34.33,3
290,115.17,-33.56,1
291,115.18,-34.34,4
292,115.18,-34.33,9
293,115.18,-33.64,53
294,115.18,-30.77,2
295,115.19,-34.35,1
296,115.19,-34.33,10
297,115.19,-30.83,2
298,115.2,-33.65,19
299,115.2,-30.82,1
300,115.23,-33.66,5
301,115.23,-33.65,62
302,115.25,-33.66,1
303,115.26,-33.66,35
304,115.26,-33.65,8
305,115.26,-30.89,1
306,115.27,-33.66,6
307,115.28,-33.66,2
308,115.29,-33.66,6
309,115.3,-33.66,4
310,115.3,-33.65,35
311,115.31,-33.65,22
312,115.32,-33.65,4
313,115.32,-33.62,17
314,115.32,-31.03,1
315,115.32,-31.02,2
316,115.32,-31.01,1
317,115.33,-33.65,2
318,115.33,-31.02,5
319,115.33,-31.01,1
320,115.34,-33.65,1
321,115.34,-33.64,53
322,115.34,-31.05,2
323,115.34,-31.04,3
324,115.35,-33.64,65
325,115.35,-33.63,2
326,115.37,-33.64,1
327,115.37,-31.11,1
328,115.38,-33.63,1
329,115.38,-31.12,1
330,115.39,-33.63,1
331,115.4,-20.71,2
332,115.41,-33.62,2
333,115.41,-33.61,1
334,115.42,-32.03,3
335,115.43,-31.29,2
336,115.43,-31.28,1
337,115.44,-33.58,1
338,115.44,-32.02,2
339,115.44,-32.01,1
340,115.44,-31.28,3
341,115.45,-33.57,3
342,115.45,-32.02,2
343,115.45,-32.01,1
344,115.46,-33.57,3
345,115.46,-32.03,2
346,115.46,-32.02,2
347,115.46,-32.01,6
348,115.46,-31.3,3
349,115.47,-32.01,3
350,115.47,-32.0,1
351,115.48,-34.38,1
352,115.48,-32.02,177
353,115.48,-32.01,10
354,115.48,-32.0,5
355,115.48,-31.99,6
356,115.48,-31.34,1
357,115.49,-32.02,1
358,115.49,-32.0,5
359,115.49,-31.99,4
360,115.5,-33.51,4
361,115.5,-32.02,10
362,115.5,-32.0,1
363,115.5,-31.99,10
364,115.5,-31.98,4
365,115.5,-31.35,1
366,115.51,-33.52,7
367,115.51,-33.51,1
368,115.51,-32.02,14
369,115.51,-31.99,7
370,115.52,-32.02,9
371,115.52,-31.99,58
372,115.52,-31.98,36
373,115.53,-32.03,7
374,115.53,-32.02,3
375,115.53,-31.99,18
376,115.53,-31.98,6
377,115.54,-32.02,1
378,115.54,-32.01,1
379,115.54,-31.99,70
380,115.54,-31.98,3
381,115.54,-31.96,2
382,115.55,-32.01,4
383,115.55,-32.0,17
384,115.55,-31.99,7
385,115.55,-31.98,1
386,115.55,-31.47,1
387,115.56,-32.02,2
388,115.56,-32.01,1
389,115.56,-32.0,5
390,115.56,-31.99,68
391,115.56,-31.46,1
392,115.57,-32.02,559
393,115.57,-32.01,1
394,115.57,-32.0,2
395,115.57,-31.5,1
396,115.58,-32.03,1
397,115.58,-31.5,4
398,115.58,-31.49,1
399,115.58,-31.48,3
400,115.59,-33.4,3
401,115.59,-32.83,1
402,115.6,-33.41,22
403,115.6,-33.31,1
404,115.6,-32.66,3
405,115.6,-32.65,2
406,115.6,-32.2,4
407,115.6,-32.02,1
408,115.6,-31.52,1
409,115.61,-32.7,1
410,115.61,-32.66,3
411,115.61,-32.65,1
412,115.61,-32.63,4
413,115.61,-32.62,2
414,115.61,-32.19,3
415,115.61,-31.55,2
416,115.61,-31.54,1
417,115.61,-31.53,2
418,115.62,-33.36,18
419,115.62,-33.35,15
420,115.62,-33.33,37
421,115.62,-33.32,2
422,115.62,-32.65,1
423,115.62,-32.64,4
424,115.62,-32.63,4
425,115.62,-32.62,1
426,115.62,-32.61,4
427,115.62,-32.6,4
428,115.62,-32.59,1
429,115.62,-32.33,2
430,115.62,-32.07,1
431,115.62,-32.06,2
432,115.62,-31.55,41
433,115.62,-31.54,1
434,115.63,-33.34,6
435,115.63,-33.33,5
436,115.63,-33.32,6
437,115.63,-32.61,20
438,115.63,-32.6,5
439,115.63,-32.59,7
440,115.63,-32.58,6
441,115.63,-32.33,1
442,115.63,-32.1,1
443,115.63,-32.06,3
444,115.63,-31.61,1
445,115.64,-33.32,1
446,115.64,-33.31,3
447,115.64,-33.29,1
448,115.64,-32.88,5
449,115.64,-32.63,6
450,115.64,-32.61,4
451,115.64,-32.6,33
452,115.64,-32.59,27
453,115.64,-32.58,3
454,115.64,-32.14,1317
455,115.64,-32.07,2
456,115.64,-32.06,6
457,115.64,-31.69,2
458,115.64,-31.61,4
459,115.65,-33.32,2
460,115.65,-33.31,3
461,115.65,-33.3,2
462,115.65,-32.88,6
463,115.65,-32.58,19
464,115.65,-32.57,4
465,115.65,-32.45,6
466,115.65,-32.18,2
467,115.65,-32.17,1
468,115.65,-32.16,1
469,115.65,-32.15,2
470,115.65,-32.09,3
471,115.65,-32.07,1
472,115.65,-32.03,4
473,115.65,-32.0,1
474,115.65,-31.69,4
475,115.65,-31.61,1
476,115.65,-31.6,2
477,115.65,-31.59,3
478,115.66,-33.3,3
479,115.66,-32.57,1
480,115.66,-32.46,6
481,115.66,-32.42,1
482,115.66,-32.21,9
483,115.66,-32.19,1
484,115.66,-32.17,4
485,115.66,-32.16,2
486,115.66,-32.12,28
487,115.66,-32.11,1
488,115.66,-32.09,14
489,115.66,-32.0,1
490,115.66,-31.99,1
491,115.66,-31.62,7
492,115.66,-31.61,11
493,115.67,-33.31,1
494,115.67,-33.23,3
495,115.67,-33.21,2
496,115.67,-32.62,1
497,115.67,-32.58,2
498,115.67,-32.56,1
499,115.67,-32.27,10
500,115.67,-32.25,1
501,115.67,-32.21,11
502,115.67,-32.19,1
503,115.67,-32.16,1
504,115.67,-32.13,1
505,115.67,-32.08,1
506,115.67,-32.0,7
507,115.67,-31.78,14
508,115.67,-31.68,2
509,115.67,-31.63,1
510,115.68,-34.49,6
511,115.68,-33.31,1
512,115.68,-33.23,1
513,115.68,-33.21,6
514,115.68,-33.2,1
515,115.68,-33.15,1
516,115.68,-33.1,3
517,115.68,-32.7,1
518,115.68,-32.35,5
519,115.68,-32.33,2
520,115.68,-32.32,2
521,115.68,-32.31,6
522,115.68,-32.27,13
523,115.68,-32.26,4
524,115.68,-32.25,5
525,115.68,-32.24,1
526,115.68,-32.18,5
527,115.68,-32.17,7
528,115.68,-32.15,2
529,115.68,-31.81,3
530,115.68,-31.78,6
531,115.68,-31.68,2
532,115.68,-31.65,2
533,115.69,-33.3,1
534,115.69,-33.15,1
535,115.69,-33.1,3
536,115.69,-32.76,1
537,115.69,-32.53,1
538,115.69,-32.35,1
539,115.69,-32.33,2
540,115.69,-32.31,13
541,115.69,-32.3,9
542,115.69,-32.29,4
543,115.69,-32.28,1
544,115.69,-32.27,128
545,115.69,-32.26,5
546,115.69,-32.25,1
547,115.69,-32.24,2
548,115.69,-32.18,2
549,115.69,-32.17,2
550,115.69,-31.73,3
551,115.69,-31.7,4
552,115.69,-31.69,3
553,115.69,-31.68,11
554,115.69,-31.67,27
555,115.69,-31.64,4
556,115.7,-33.31,3
557,115.7,-33.22,4
558,115.7,-32.56,1
559,115.7,-32.52,15
560,115.7,-32.51,1
561,115.7,-32.37,2
562,115.7,-32.34,3
563,115.7,-32.31,1
564,115.7,-32.3,3
565,115.7,-32.29,11
566,115.7,-32.28,1
567,115.7,-32.27,5
568,115.7,-32.12,1
569,115.7,-31.81,11
570,115.7,-31.73,3
571,115.7,-31.71,10
572,115.7,-31.7,8
573,115.7,-31.69,11
574,115.7,-31.68,2
575,115.71,-33.28,6
576,115.71,-33.22,1
577,115.71,-32.74,1
578,115.71,-32.6,7
579,115.71,-32.53,1
580,115.71,-32.52,10
581,115.71,-32.51,2
582,115.71,-32.37,1
583,115.71,-32.34,3
584,115.71,-32.31,2
585,115.71,-32.06,2
586,115.71,-31.87,24
587,115.71,-31.84,3
588,115.71,-31.81,18
589,115.71,-31.79,46
590,115.71,-31.74,3
591,115.71,-31.71,12
592,115.72,-32.54,7
593,115.72,-32.53,4
594,115.72,-32.52,11
595,115.72,-32.51,7
596,115.72,-32.39,8
597,115.72,-32.37,3
598,115.72,-32.36,1
599,115.72,-32.34,5
600,115.72,-32.32,5
601,115.72,-32.31,2
602,115.72,-32.28,9
603,115.72,-32.27,2
604,115.72,-32.26,1
605,115.72,-32.06,1
606,115.72,-32.05,4
607,115.72,-31.88,123
608,115.72,-31.86,2
609,115.72,-31.82,11
610,115.72,-31.81,4
611,115.72,-31.79,4
612,115.72,-31.77,1
613,115.72,-31.76,94
614,115.72,-31.74,6
615,115.72,-31.73,3
616,115.73,-33.29,1
617,115.73,-32.51,8
618,115.73,-32.41,1
619,115.73,-32.39,26
620,115.73,-32.37,3
621,115.73,-32.36,13
622,115.73,-32.35,3468
623,115.73,-32.34,1
624,115.73,-32.32,4
625,115.73,-32.31,1
626,115.73,-32.28,1
627,115.73,-32.27,6
628,115.73,-32.2,19
629,115.73,-32.14,1
630,115.73,-32.09,1
631,115.73,-32.07,1
632,115.73,-32.06,1
633,115.73,-32.05,32
634,115.73,-32.04,1
635,115.73,-32.03,9
636,115.73,-31.89,385
637,115.73,-31.83,8
638,115.73,-31.82,4
639,115.73,-31.81,38
640,115.73,-31.8,12
641,115.73,-31.79,127
642,115.73,-31.78,70
643,115.73,-31.77,13
644,115.73,-31.76,12
645,115.74,-33.3,3
646,115.74,-32.56,1
647,115.74,-32.51,2
648,115.74,-32.49,11
649,115.74,-32.48,1
650,115.74,-32.47,3
651,115.74,-32.45,1
652,115.74,-32.44,1
653,115.74,-32.43,4
654,115.74,-32.41,8
655,115.74,-32.4,2
656,115.74,-32.35,1
657,115.74,-32.34,2
658,115.74,-32.33,8
659,115.74,-32.32,7
660,115.74,-32.26,1
661,115.74,-32.19,2
662,115.74,-32.15,2
663,115.74,-32.14,9
664,115.74,-32.13,8
665,115.74,-32.09,2
666,115.74,-32.08,2
667,115.74,-32.06,23
668,115.74,-32.05,5
669,115.74,-32.04,18
670,115.74,-32.03,89
671,115.74,-32.02,9
672,115.74,-32.0,228
673,115.74,-31.99,306
674,115.74,-31.98,1
675,115.74,-31.96,10
676,115.74,-31.94,11
677,115.74,-31.93,12
678,115.74,-31.91,3
679,115.74,-31.9,5
680,115.74,-31.89,172
681,115.74,-31.88,2
682,115.74,-31.87,7
683,115.74,-31.86,6
684,115.74,-31.85,1
685,115.74,-31.84,1
686,115.74,-31.83,18
687,115.74,-31.82,3
688,115.74,-31.78,1
689,115.75,-34.55,8
690,115.75,-32.48,2
691,115.75,-32.47,16
692,115.75,-32.45,2
693,115.75,-32.44,1
694,115.75,-32.43,11
695,115.75,-32.41,7
696,115.75,-32.26,1
697,115.75,-32.24,3
698,115.75,-32.22,1
699,115.75,-32.19,9
700,115.75,-32.12,1
701,115.75,-32.09,5
702,115.75,-32.08,27
703,115.75,-32.04,2
704,115.75,-32.03,54
705,115.75,-32.02,6
706,115.75,-32.01,1
707,115.75,-32.0,76
708,115.75,-31.99,15
709,115.75,-31.98,186
710,115.75,-31.96,36
711,115.75,-31.94,293
712,115.75,-31.93,216
713,115.75,-31.9,187
714,115.75,-31.89,15
715,115.75,-31.88,61
716,115.75,-31.87,56
717,115.75,-31.86,32
718,115.75,-31.85,19
719,115.75,-31.84,7
720,115.75,-31.83,1
721,115.76,-32.57,2
722,115.76,-32.25,3
723,115.76,-32.24,2
724,115.76,-32.23,1
725,115.76,-32.19,1
726,115.76,-32.16,1
727,115.76,-32.14,3
728,115.76,-32.12,2
729,115.76,-32.11,19
730,115.76,-32.09,1
731,115.76,-32.03,2
732,115.76,-31.98,5
733,115.76,-31.97,4
734,115.76,-31.95,4
735,115.76,-31.94,4
736,115.76,-31.93,35
737,115.76,-31.92,8
738,115.76,-31.91,14
739,115.76,-31.9,2
740,115.76,-31.89,42
741,115.77,-32.21,1
742,115.77,-32.19,1
743,115.77,-32.17,1
744,115.78,-32.19,1
745,115.78,-32.03,3
746,115.78,-32.02,2
747,115.78,-32.01,4
748,115.78,-32.0,1
749,115.79,-32.01,11
750,115.8,-32.58,2
751,115.81,-34.59,2
752,115.81,-32.0,1
753,115.81,-31.99,2
754,115.82,-32.01,1
755,115.82,-31.98,3
756,115.83,-32.0,2
757,115.83,-31.99,1
758,115.84,-31.97,1
759,115.85,-32.02,3
760,115.85,-32.01,13
761,115.85,-32.0,2
762,115.85,-31.99,3
763,115.85,-21.01,2
764,115.86,-34.64,2
765,115.86,-32.05,1
766,115.86,-32.04,4
767,115.86,-32.03,9
768,115.86,-32.02,3
769,115.86,-31.97,5
770,115.86,-31.96,1
771,115.87,-32.03,3
772,115.87,-31.97,6
773,115.87,-31.96,1
774,115.88,-32.02,1
775,115.88,-31.97,1
776,115.88,-31.95,5
777,115.89,-32.02,3
778,115.89,-31.95,2
779,115.9,-32.03,4
780,115.9,-32.02,9
781,115.9,-31.95,2
782,115.91,-31.95,1
783,115.92,-31.94,1
784,115.92,-31.93,2
785,115.94,-31.93,1
786,115.94,-31.92,1
787,115.95,-34.77,1
788,115.95,-31.91,1
789,115.96,-34.75,2
790,115.96,-31.9,1
791,116.0,-34.81,2
792,116.02,-34.85,1
793,116.03,-34.84,1
794,116.51,-35.01,1
795,116.57,-35.02,4
796,116.63,-20.64,1
797,116.65,-35.05,1
798,116.7,-20.66,2
799,116.72,-34.98,1
800,116.73,-34.98,2
801,116.73,-20.64,1
802,116.73,-20.63,2
803,116.74,-35.03,1
804,116.74,-34.99,1
805,116.78,-35.03,1
806,116.8,-20.63,1
807,116.84,-35.04,1
808,116.88,-20.64,1
809,116.91,-35.06,1
810,116.92,-20.71,1
811,116.93,-35.04,11
812,116.94,-35.05,1
813,116.94,-35.04,1
814,116.95,-35.05,2
815,117.08,-35.04,1
816,117.11,-35.04,2
817,117.16,-35.04,4
818,117.17,-35.03,3
819,117.18,-20.59,1
820,117.19,-20.64,2
821,117.19,-20.61,1
822,117.26,-35.03,1
823,117.27,-35.02,1
824,117.28,-35.02,2
825,117.33,-35.03,21
826,117.34,-35.03,2
827,117.35,-35.03,1
828,117.35,-34.99,1
829,117.37,-34.97,2
830,117.52,-35.08,1
831,117.61,-35.13,2
832,117.63,-35.11,3
833,117.64,-35.11,1
834,117.64,-35.07,8
835,117.68,-35.05,1
836,117.69,-35.05,1
837,117.69,-35.04,6
838,117.78,-35.06,4
839,117.8,-35.07,6
840,117.87,-35.06,1
841,117.88,-35.03,1
842,117.89,-35.05,3
843,117.9,-35.12,1
844,117.91,-35.13,7
845,117.92,-35.12,1
846,117.92,-35.05,1
847,117.92,-35.04,1
848,117.92,-35.02,356
849,117.92,-35.01,8
850,117.93,-35.13,1
851,117.93,-35.12,1
852,117.93,-35.06,1
853,117.93,-35.02,13
854,117.93,-35.01,2
855,117.94,-35.14,1
856,117.94,-35.09,1
857,117.94,-35.08,4
858,117.94,-35.06,5
859,117.94,-35.05,3
860,117.94,-35.01,1
861,117.95,-35.09,349
862,117.95,-35.02,1
863,117.95,-35.0,5
864,117.95,-34.96,1
865,117.96,-35.02,2
866,117.96,-35.01,1
867,117.97,-35.1,1
868,117.97,-35.02,2
869,117.97,-35.01,5
870,117.98,-35.07,1
871,118.0,-35.09,3
872,118.0,-35.02,2
873,118.01,-35.05,1
874,118.04,-35.03,1
875,118.04,-35.02,1
876,118.05,-35.08,1
877,118.06,-35.04,3
878,118.08,-35.0,2
879,118.08,-34.99,12
880,118.11,-35.0,8
881,118.16,-35.04,1
882,118.17,-34.96,2
883,118.19,-34.95,1
884,118.2,-34.98,5
885,118.21,-34.94,1
886,118.21,-34.93,1
887,118.4,-34.88,9
888,118.4,-34.86,7
889,118.4,-34.82,1
890,118.41,-34.87,8
891,118.41,-34.86,1
892,118.41,-34.83,1
893,118.42,-34.79,2
894,118.43,-34.79,3
895,118.46,-34.92,3
896,118.48,-34.95,3
897,118.49,-34.9,1
898,118.57,-20.29,1
899,118.6,-20.31,1
900,118.6,-20.3,2
901,118.64,-20.31,1
902,118.67,-34.71,1
903,118.75,-34.62,1
904,119.11,-34.47,1
905,119.21,-34.5,1
906,119.36,-34.47,1
907,119.38,-34.39,1
908,119.4,-34.44,1
909,119.41,-34.42,1
910,119.41,-34.41,1
911,119.42,-34.37,1
912,119.44,-34.41,6
913,119.45,-34.37,1
914,119.48,-34.39,1
915,119.49,-34.38,2
916,119.52,-34.36,1
917,119.52,-34.24,3
918,119.59,-34.17,1
919,119.98,-33.96,1
920,120.12,-33.96,2
921,120.12,-33.95,2
922,120.14,-33.96,1
923,120.15,-33.94,3
924,120.47,-34.11,1
925,121.17,-33.87,1
926,121.21,-33.87,1
927,121.29,-33.83,1
928,121.61,-34.03,1
929,121.65,-18.76,1
930,121.72,-18.69,2
931,121.75,-33.9,1
932,121.78,-33.9,2
933,121.79,-33.94,4
934,121.79,-33.92,3
935,121.8,-33.92,1
936,121.8,-33.91,4
937,121.82,-33.9,1
938,121.82,-33.89,12
939,121.83,-33.9,5
940,121.83,-33.89,16
941,121.84,-33.89,5
942,121.85,-33.9,1
943,121.85,-33.89,21
944,121.86,-33.89,7
945,121.86,-33.88,9
946,121.87,-33.88,5
947,121.88,-33.88,756
948,121.89,-33.88,4
949,121.89,-33.86,15
950,121.9,-33.92,3
951,121.9,-33.89,2
952,121.9,-33.88,4
953,121.9,-33.86,5
954,121.91,-33.86,3
955,121.91,-33.84,8
956,121.92,-33.86,2
957,121.92,-33.84,1
958,121.93,-33.86,3
959,121.93,-33.83,4
960,121.97,-34.03,1
961,121.97,-33.86,1
962,121.98,-33.83,7
963,121.99,-33.92,1
964,121.99,-33.84,1
965,121.99,-33.83,4
966,122.0,-33.84,1
967,122.01,-33.96,1
968,122.01,-33.84,66
969,122.02,-33.88,1
970,122.02,-33.85,1
971,122.03,-33.85,22
972,122.07,-33.9,1
973,122.09,-18.32,1
974,122.11,-33.99,2
975,122.11,-33.98,1
976,122.13,-34.02,1
977,122.15,-34.01,2
978,122.16,-34.01,4
979,122.17,-34.02,1
980,122.17,-34.0,2
981,122.18,-17.97,8
982,122.18,-17.96,1
983,122.19,-17.95,1
984,122.2,-34.0,1
985,122.2,-17.96,43
986,122.2,-17.71,1
987,122.21,-18.01,1
988,122.21,-18.0,1
989,122.22,-17.99,7
990,122.22,17.77,1
991,122.23,-34.0,1
992,122.23,-33.99,27
993,122.23,-17.98,1
994,122.23,-17.97,4
995,122.24,-17.97,1
996,122.25,-34.14,1
997,122.27,-34.14,2
998,122.3,-33.94,1
999,122.35,-33.92,1
1000,122.5,-33.94,1
1001,122.51,-33.95,1
1002,122.54,-33.94,2
1003,122.54,-33.93,3
1004,122.58,-33.92,3
1005,122.76,-33.88,1
1006,122.79,-33.88,1
1007,122.82,-33.93,1
1008,122.82,-33.9,2
1009,122.82,-16.54,1
1010,122.83,-33.91,14
1011,122.84,-33.91,1
1012,122.89,-33.89,1
1013,122.99,-33.89,1
1014,122.99,-33.88,1
1015,123.01,-33.87,3
1016,123.14,-34.01,1
1017,123.16,-33.97,1
1018,123.19,-34.02,1
1019,123.19,-16.41,1
1020,123.47,-16.82,1
1021,123.55,-34.36,5
1022,123.56,-34.37,17
1023,124.87,-14.44,1
1024,126.05,-32.27,2
